texte,quantity_kg,article_context,machine_context
[Cannelure (Fluting)] Biocide ratio,380.592,Cannelure (Fluting),
[Cannelure (Fluting)] Defoamer 2 (Erol),438.18,Cannelure (Fluting),
[Cannelure (Fluting)] defoamer ratio (Defoamer 1 (afranil)),442.996,Cannelure (Fluting),
[Cannelure (Fluting)] Krofta Polymer ratio,299.612,Cannelure (Fluting),
[Cannelure (Fluting)] Prestige cleaning aids Ratio (prestige),135.534,Cannelure (Fluting),
[Cannelure (Fluting)] Retention aids ratio,24.076,Cannelure (Fluting),
[Cannelure (Fluting)] Starch cationic ratio,275.564,Cannelure (Fluting),
[Cannelure (Fluting)] Starch oxidized ratio,345.565,Cannelure (Fluting),
[Kraft pour sacs] Biocide ratio,119.891,Kraft pour sacs,
[Kraft pour sacs] defoamer ratio (Defoamer 1 (afranil)),138.444,Kraft pour sacs,
[Kraft pour sacs] Krofta Polymer ratio,256.269,Kraft pour sacs,
[Kraft pour sacs] Prestige cleaning aids Ratio (prestige),167.632,Kraft pour sacs,
[Kraft pour sacs] Retention aids ratio,12.13,Kraft pour sacs,
[Kraft pour sacs] Sizing Kraft (Agent collage ASA),422.426,Kraft pour sacs,
[Kraft pour sacs] Starch cationic ratio,327.622,Kraft pour sacs,
[SotiKraft / SotiKraft Coloré (KraftLiner)] Biocide ratio,192.653,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] Defoamer 2 (Erol),37.333,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] defoamer ratio (Defoamer 1 (afranil)),85.879,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] Dye ratio (Wet end),353.461,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] Krofta Polymer ratio,283.491,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] PAC,184.383,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] Retention aids ratio,403.386,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] Sizing PPO (Agent de collage),206.588,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] Starch cationic ratio,395.003,SotiKraft / SotiKraft Coloré (KraftLiner),
[SotiKraft / SotiKraft Coloré (KraftLiner)] Starch oxidized ratio,462.256,SotiKraft / SotiKraft Coloré (KraftLiner),
[TestLiner Coloré] Biocide ratio,174.277,TestLiner Coloré,
[TestLiner Coloré] Defoamer 2 (Erol),172.257,TestLiner Coloré,
[TestLiner Coloré] defoamer ratio (Defoamer 1 (afranil)),20.849,TestLiner Coloré,
[TestLiner Coloré] Dye ratio (Wet end),201.68,TestLiner Coloré,
[TestLiner Coloré] Krofta Polymer ratio,148.845,TestLiner Coloré,
[TestLiner Coloré] PAC,334.575,TestLiner Coloré,
[TestLiner Coloré] Retention aids ratio,33.542,TestLiner Coloré,
[TestLiner Coloré] Size Press,8.106,TestLiner Coloré,
[TestLiner Coloré] Sizing PPO (Agent de collage),143.881,TestLiner Coloré,
[TestLiner Coloré] Starch cationic ratio,139.979,TestLiner Coloré,
[TestLiner] Biocide ratio,478.004,TestLiner,
[TestLiner] Defoamer 2 (Erol),406.566,TestLiner,
[TestLiner] defoamer ratio (Defoamer 1 (afranil)),96.818,TestLiner,
[TestLiner] Krofta Polymer ratio,100.207,TestLiner,
[TestLiner] PAC,328.535,TestLiner,
[TestLiner] Retention aids ratio,138.613,TestLiner,
[TestLiner] Sizing PPO (Agent de collage),207.597,TestLiner,
[TestLiner] Starch cationic ratio,33.924,TestLiner,
Agent de collage ASA Kraft pour sacs,154.583,,
Agent de collage ASA Kraft pour sacs (kg/t),158.867,,
Agent de collage ASA Kraft pour sacs kg/t papier,362.779,,
Agent de collage ASA Kraft pour sacs machine PM,409.862,,
Agent de collage ASA Kraft pour sacs ratio,37.271,,
Agent de collage ASA Kraft pour sacs tour formation,142.639,,
Agent de collage ASA Kraft pour sacs wet end,93.664,,
Agent de collage ASA Kraft pour sacs — ligne papier,476.443,,
Agent de rétention fines et charges,451.88,,
Agent de rétention fines et charges (kg/t),286.77,,
Agent de rétention fines et charges kg/t papier,14.869,,
Agent de rétention fines et charges machine PM,292.352,,
Agent de rétention fines et charges ratio,227.583,,
Agent de rétention fines et charges tour formation,285.516,,
Agent de rétention fines et charges wet end,441.219,,
Agent de rétention fines et charges — ligne papier,326.443,,
agent de rétention ratio,84.639,,
agent de rétention ratio (kg/t),320.066,,
agent de rétention ratio kg/t papier,167.39,,
agent de rétention ratio machine PM,147.948,,
agent de rétention ratio ratio,324.243,,
agent de rétention ratio tour formation,446.118,,
agent de rétention ratio wet end,19.656,,
agent de rétention ratio — ligne papier,301.95,,
Agent hydrophobe ASA sizing,23.561,,
Agent hydrophobe ASA sizing (kg/t),226.547,,
Agent hydrophobe ASA sizing kg/t papier,84.714,,
